id,eng_lemma,swe_lemma,status,pos,src
GF1,abstract,abstrakt,gold,A,GF
GF4,abstract,utdrag,gold,N,GF
GF5,abstraction,abstraktion,gold,N,GF
GF6,accelerate, accelerera,gold,V,GF
GF7,acceleration,acceleration,gold,N,GF
GF8,accelerator,accelerator,gold,N,GF
GF9,accept, acceptera,gold,V,GF
GF10,acceptance,godkännande,gold,N,GF
GF12,access,åtkomst,gold,N,GF
GF13,accessibility,tillgänglighet,gold,N,GF
GF14,accompany, medfölja,gold,V,GF
GF15,account,konto,gold,N,GF
GF17,accumulator,ackumulator,gold,N,GF
GF18,accuracy,noggrannhet,gold,N,GF
GF19,achieve, uppnå,gold,V,GF
GF20,acknowledge, erkänna,gold,V,GF
GF21,acoustic,akustisk,gold,A,GF
GF22,acoustic,akustik,gold,N,GF
GF23,acronym,akronym,gold,N,GF
GF24,act, agera,gold,V,GF
GF25,act,handling,gold,N,GF
GF26,action,handling,gold,N,GF
GF27,activation,aktivering,gold,N,GF
GF28,active,aktiv,gold,A,GF
GF29,actor,skådespelare,gold,N,GF
GF30,ad,reklam,gold,N,GF
GF31,adaptation,anpassning,gold,N,GF
GF32,adapter,adapter,gold,N,GF
GF33,adaptive,adaptiv,gold,A,GF
GF34,additional,ytterligare,gold,A,GF
GF36,address, adressera,gold,V,GF
GF37,address,adress,gold,N,GF
GF38,administrative,administrativ,gold,A,GF
GF40,advance, avancera,gold,V,GF
GF41,advance,framsteg,gold,N,GF
GF42,affect, påverka,gold,V,GF
GF43,agency,byrå,gold,N,GF
GF44,agent,agent,gold,N,GF
GF45,aggregation,aggregation,gold,N,GF
GF48,agreement,avtal,gold,N,GF
GF49,aid, hjälpa,gold,V,GF
GF50,aim, syfta,gold,V,GF
GF51,aim,syfte,gold,N,GF
GF52,airflow,luftflöde,gold,N,GF
GF53,algebra,algebra,gold,N,GF
GF54,algebraic,algebraisk,gold,A,GF
GF58,algorithm,algoritm,gold,N,GF
GF59,algorithmic,algoritmisk,gold,A,GF
GF60,alliance,förbund,gold,N,GF
GF61,allocation,fördelning,gold,N,GF
GF62,allow, låta,gold,V,GF
GF63,alternate, växla,gold,V,GF
GF64,amplitude,amplitud,gold,N,GF
GF65,analyse, analysera,gold,V,GF
GF66,analysis,analys,gold,N,GF
GF67,analytical,analytisk,gold,A,GF
GF68,anisotropic,anisotrop,gold,A,GF
GF69,answer,svar,gold,N,GF
GF70,antenna,antenn,gold,N,GF
GF71,antibiotic,antibiotikum,gold,N,GF
GF73,appliance,tillämpning,gold,N,GF
GF75,application,applikation,gold,N,GF
GF77,apply, applicera,gold,V,GF
GF78,appropriate, bestämma,gold,V,GF
GF79,approximate, approximera,gold,V,GF
GF80,approximation,approximation,gold,N,GF
GF81,architect,arkitekt,gold,N,GF
GF83,architecture,arkitektur,gold,N,GF
GF84,argue, argumentera,gold,V,GF
GF85,argument,argument,gold,N,GF
GF86,arithmetic,aritmetik,gold,N,GF
GF87,array,fält,gold,N,GF
GF88,arrival,ankomst,gold,N,GF
GF89,article,artikel,gold,N,GF
GF90,articulate, artikulera,gold,V,GF
GF91,artificial,artificiell,gold,A,GF
GF93,aspect,aspekt,gold,N,GF
GF97,assess, bedöma,gold,V,GF
GF98,assessment,bedömning,gold,N,GF
GF99,assign, tilldela,gold,V,GF
GF100,assignment,inlämningsuppgift,gold,N,GF
GF101,assist, hjälpa,gold,V,GF
GF102,assistant,assistent,gold,N,GF
GF103,associate, associera,gold,V,GF
GF104,association,samband,gold,N,GF
GF105,associative,associativ,gold,A,GF
GF106,assume, anta,gold,V,GF
GF107,asymmetric,asymmetrisk,gold,A,GF
GF108,asymptotic,asymptotisk,gold,A,GF
GF109,asynchronous,asynkron,gold,A,GF
GF110,attachment,bilaga,gold,N,GF
GF112,attack, angripa,gold,V,GF
GF113,attack,attack,gold,N,GF
GF114,attenuation,försvagning,gold,N,GF
GF115,attribute,attribut,gold,N,GF
GF116,audio,ljud,gold,N,GF
GF117,authentication,autentisering,gold,N,GF
GF119,authority,myndighet,gold,N,GF
GF121,automate, automatisera,gold,V,GF
GF122,automated,automatiserad,gold,A,GF
GF123,automation,automatisering,gold,N,GF
GF124,automaton,automat,gold,N,GF
GF125,autonomous,självstyrande,gold,A,GF
GF126,availability,tillgång,gold,N,GF
GF127,available,tillgänglig,gold,A,GF
GF128,average,genomsnittlig,gold,A,GF
GF129,average,genomsnitt,gold,N,GF
GF130,axial,axial,gold,A,GF
GF131,bachelor,kandidat,gold,N,GF
GF132,background,bakgrund,gold,N,GF
GF133,balance, balansera,gold,V,GF
GF134,bandwidth,bandbredd,gold,N,GF
GF135,base, basera,gold,V,GF
GF136,basic,grundläggande,gold,A,GF
GF138,basic,grund,gold,N,GF
GF140,baud,baud,gold,N,GF
GF141,begin, börja,gold,V,GF
GF142,behavior,beteende,gold,N,GF
GF143,behaviour,beteende,gold,N,GF
GF144,benchmark,riktvärde,gold,N,GF
GF145,bidirectional,dubbelriktad,gold,A,GF
GF147,binary,binär,gold,A,GF
GF152,bind, binda,gold,V,GF
GF154,biology,biologi,gold,N,GF
GF156,bipolar,bipolär,gold,A,GF
GF158,bit,bit,gold,N,GF
GF160,blacklist,svartlista,gold,N,GF
